"","name","aci","h","m","ndsi","q","adi","aei","bi"
"12","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc582314_left_start_0_0.wav",160.118626842873,0.719080858819365,0.00335369588406257,0.859262514999317,NA,0.819749,0.821015,4.22011512904984
"13","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc582314_left_start_0_15.wav",158.472694637812,0.792206725973617,0.00226240543924758,0.93394777502176,NA,1.32026,0.717229,5.34711869851787
"x51","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc582314_left_start_0_30.wav",159.481579528745,0.810722388298455,0.00216410242496627,0.873049521678511,4.71346830985915,1.880298,0.497491,4.6876981124842
"14","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc582314_left_start_0_45.wav",160.829095946819,0.765004299746639,0.00240379271002226,0.857468356471978,NA,1.068833,0.774819,3.10347816575622
"x52","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_0_0.wav",233.907640055752,0.785194933558717,0.00229689865045952,0.796013911359852,27.2877869605141,2.182225,0.264693,10.8470243478783
"x53","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_0_15.wav",187.775672926658,0.842610035751827,0.00212800460671506,0.122138805648265,2.48069597446721,2.111507,0.326985,8.13545608436501
"x54","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_0_30.wav",204.176748384571,0.81035912256961,0.00206710049652939,-0.00153764666352052,2.07724137931034,2.156614,0.291422,9.03604030631394
"x55","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_0_45.wav",198.956058861785,0.820542363009755,0.00183653056857017,0.102070788795501,6.49595600129408,2.081563,0.364057,9.95623929663373
"x56","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_1_0.wav",188.467736355637,0.838606030496296,0.00178058142148525,0.75710911630036,7.29084967320263,2.230537,0.203598,6.92254048439578
"x57","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_1_15.wav",181.670010273191,0.84715869879182,0.0019971068386076,0.220227032136453,0.342309331060929,2.206772,0.220867,8.22145284204652
"x58","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_1_30.wav",205.747523216161,0.806125788431113,0.00208625104815183,0.0849668766512353,22.9470476190476,2.134818,0.317289,7.9935151957425
"x59","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_1_45.wav",214.153937738516,0.805178428377498,0.00256512661719249,0.187755789350886,51.7192752674085,2.18612,0.265704,8.97052954216242
"x60","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_2_0.wav",203.026336588155,0.825327939229594,0.00258749123687722,0.235894161276412,2.26551335088379,2.180213,0.258557,7.71198176466042
"x61","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_2_15.wav",185.93318180653,0.835358384727527,0.00270990792664383,0.255442157323829,60.6029051122423,2.08391,0.3573,8.84261191136188
"x62","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_2_30.wav",200.220202426468,0.810466148858755,0.00359345084152337,0.130763979782755,1.10786206896552,2.160355,0.278408,8.91313517958288
"x63","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591116_start_2_45.wav",229.465554985124,0.772918946615315,0.0036335159464196,0.207335980722234,19.2348739495798,2.171775,0.27502,8.92500830927449
"x64","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_0_0.wav",233.34502456965,0.810942123588116,0.00453507858233923,0.77048063801409,0.812297734627832,2.143412,0.306087,9.04627288458344
"x65","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_0_15.wav",227.597685307192,0.803098493283299,0.00404230678529816,0.398390397209677,2.05360947754198,2.041397,0.391601,12.9050495561732
"x66","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc591117_start_0_30.wav",224.459571608118,0.786727388446187,0.00378423705638707,0.238903194548733,2.86090828138914,2.094928,0.34791,12.5608237516701
